Start Time,Period (min),NE Name,DGW function,User Plane L7 parser DNS downlink packets (number),User Plane L7 parser DNS uplink packets (number),User Plane L7 parser downlink packets (number),User Plane L34 parser uplink packets (number),User Plane L7 parser uplink packets (number),User Plane L34 parser downlink packets (number),Date,Time
2023-09-06 14:00:00,30,UPPNB06,nodeName=dgw,181841522,190681997,33331867679,85642034,15935545379,243008130,2023-09-06,14:00:00
2023-09-06 14:30:00,30,UPCBT03,nodeName=dgw,115992655,131310624,18717378083,98440750,8202831692,182294442,2023-09-06,14:30:00
2023-09-06 14:30:00,30,UPPLB02,nodeName=dgw,146958373,153507847,25491342295,85661022,11480941244,229940277,2023-09-06,14:30:00
2023-09-06 14:30:00,30,UPBNB02,nodeName=dgw,157542551,164740192,22669698682,173041172,10367203516,334211908,2023-09-06,14:30:00
2023-09-06 14:30:00,30,UPPNB04,nodeName=dgw,79713297,83513936,14700531352,39771559,7064497123,111744439,2023-09-06,14:30:00
2023-09-06 14:30:00,30,UPPNB06,nodeName=dgw,182931411,191670378,33680687336,87656893,16193272773,245984584,2023-09-06,14:30:00
2023-09-06 15:00:00,30,UPCBT03,nodeName=dgw,115425291,130889818,18345287480,94441658,8052274793,175200189,2023-09-06,15:00:00
2023-09-06 15:00:00,30,UPPNB04,nodeName=dgw,79775497,83638083,14705620891,39048184,7084952853,108898480,2023-09-06,15:00:00
2023-09-06 15:00:00,30,UPPNB06,nodeName=dgw,183617266,192512037,33825285500,86612711,16299333808,241483301,2023-09-06,15:00:00
2023-09-06 15:00:00,30,UPPLB02,nodeName=dgw,145399383,151990024,24907545191,83583780,11193286086,224602876,2023-09-06,15:00:00
2023-09-06 15:00:00,30,UPBNB02,nodeName=dgw,156618148,163701074,22124833007,168187000,10130094611,319292807,2023-09-06,15:00:00
2023-09-06 15:30:00,30,UPBNB02,nodeName=dgw,152617456,159565887,21743109743,164710253,9918843982,319239828,2023-09-06,15:30:00
2023-09-06 15:30:00,30,UPPNB04,nodeName=dgw,77377026,80960649,14271502192,39613317,6869548945,110819437,2023-09-06,15:30:00
2023-09-06 15:30:00,30,UPPLB02,nodeName=dgw,138482475,144857272,23768562213,75216522,10599620153,209357890,2023-09-06,15:30:00
2023-09-06 15:30:00,30,UPPNB06,nodeName=dgw,177857422,186269389,32889383402,87311342,15829625715,241252761,2023-09-06,15:30:00
2023-09-06 15:30:00,30,UPCBT03,nodeName=dgw,112613665,127205559,18117445951,96137473,7919353456,177070956,2023-09-06,15:30:00
2023-09-06 16:00:00,30,UPCBT03,nodeName=dgw,121451876,137485962,18377016267,94469437,8072320745,174202050,2023-09-06,16:00:00
2023-09-06 16:00:00,30,UPBNB02,nodeName=dgw,158508212,165508189,21899388642,165759202,10003059194,316730619,2023-09-06,16:00:00
2023-09-06 16:00:00,30,UPPNB04,nodeName=dgw,80234976,83777354,14368508232,37788714,6913478316,105516871,2023-09-06,16:00:00
2023-09-06 16:00:00,30,UPPLB02,nodeName=dgw,141516500,147836236,23228838883,70401951,10398406496,194836839,2023-09-06,16:00:00
2023-09-06 16:00:00,30,UPPNB06,nodeName=dgw,184506897,193000990,32994656867,88502336,15934564393,239866943,2023-09-06,16:00:00
